champion,about,text,impact
Miss Fortune,Strut,New Effect: Now gains the increased bonus movement speed upon respawning.,1.0
Ornn,Living Forge,"Bug Fix: Now is properly able to upgrade items for an allied  Viego, even if he had possessed an enemy champion with  Sovereign's Domination at one point.",0.0
Rek'Sai,Queen's Wrath,Bug Fix: Cast bar HUD now displays correctly.,0.0
Renata Glasc,Hostile Takeover,Bug Fix:  Power Chord empowered basic attack is now properly consumed and applied when used against allied units while  Berserked.,0.0
Renata Glasc,Hostile Takeover,Bug Fix:  Cheap Shot now properly triggers and deals its damage for  Berserked champions.,0.0
Renata Glasc,Hostile Takeover,Bug Fix: Caster of  The Show Stopper no longer becomes locked out of their basic abilities they are performing the ability while  Berserked and their target dies in the process.,0.0
Renata Glasc,Hostile Takeover,Bug Fix: Several issues have been fixed where champions with certain items and runes would incorrectly receive kill credit and gold for killing their allies while  Berserked.,0.0
Rumble,Electro Harpoon,Bug Fix: Overheated state no longer visually disappears father than it should be if it was triggered by Electro Harpoon.,0.0
Samira,Stats,Health growth increased to 94 from 88.,1.0
Samira,Stats,Armor growth increased to 3.5 from 3.,1.0
Samira,Inferno Trigger,Static cooldown reduced to 5 seconds from 8.,-1.0
Seraphine,Surround Sound,Mana cost reduced to 50 / 60 / 70 / 80 / 90 from 50 / 70 / 90 / 110 / 130.,-1.0
Seraphine,Surround Sound,Cooldown changed to 28 / 26 / 24 / 22 / 20 seconds from 26 / 25 / 24 / 23 / 22.,-1.0
Seraphine,Surround Sound,Self base shield changed to 60 / 80 / 100 / 120 / 140 from 75 - 225 (based on level).,1.0
Seraphine,Surround Sound,Self shield AP ratio reduced to 40% AP from 45% AP.,1.0
Seraphine,Surround Sound,Ally base shield changed to 60 / 80 / 100 / 120 / 140 from 50 - 150 (based on level).,1.0
Seraphine,Surround Sound,Ally shield AP ratio increased to 40% AP from 30% AP.,1.0
Seraphine,Surround Sound,Base heal increased to 5 / 5.5 / 6 / 6.5 / 7% missing health from 5% at all ranks.,1.0
Seraphine,Surround Sound,Heal AP ratio reduced to 0.75% per 100 AP from 1.125% per 100 AP.,1.0
Seraphine,Beat Drop,Cooldown reduced to 11 / 10.5 / 10 / 9.5 / 9 seconds from 13 / 12 / 11 / 10 / 9.,-1.0
Sett,The Show Stopper,Bug Fix: Caster no longer becomes locked out of their basic abilities if they are performing The Show Stopper while  Berserked and their target dies in the process.,0.0
Sona,Power Chord,Bug Fix: Empowered basic attack is now properly consumed and applied when used against allied units while  Berserked.,0.0
Vel'Koz,Lifeform Disintegration Ray,"Bug Fix: When it is cast in spectate mode, no longer causes the game replay to crash.",0.0
Viego,Sovereign's Domination,Bug Fix:  Magical Footwear no longer sometimes grants him duplicate  Slightly Magical Boots.,0.0
Viego,Sovereign's Domination,Bug Fix: No longer permanently gains  Rock Surfing after possessing  Taliyah.,0.0
Viego,Sovereign's Domination,"Bug Fix:  Ornn is now properly able to forge items for him with  Living Forge, even if an enemy champion was possessed at one point.",0.0
Xin Zhao,Audacious Charge,Cooldown increased to 12 seconds from 11.,-1.0
Xin Zhao,Crescent Guard,Duration reduced to 4 seconds from 5.,1.0
Yorick,Eulogy of the Isles,Bug Fix: Maiden of the Mist now properly displays an icon on the minimap.,0.0
Yorick,Eulogy of the Isles,Bug Fix: Maiden of the Mist and Ghouls now properly disappear when the caster dies.,0.0
Master Yi,Stats,Base health reduced to 550 from 599.,1.0
Master Yi,Alpha Strike,AD ratio reduced to 50% AD from 60% AD.,1.0
Master Yi,Alpha Strike,Critical strike bonus damage AD ratio reduced to (17.5% + 6.125%) AD from (30% + 10.5%) AD.,1.0
Master Yi,Alpha Strike,Subsequent hits critical strike bonus damage AD ratio reduced to (4.375% + 1.53125%) AD from (7.5% + 2.625%) AD.,1.0
Master Yi,Alpha Strike,On-hit modifier reduced to 75% from 100%.,1.0
Master Yi,Alpha Strike,Subsequent hit on-hit modifier reduced to 18.75% from 25%.,1.0
Master Yi,Wuju Style,Base bonus true damage reduced to 30 / 37 / 44 / 51 / 58 from 30 / 38 / 46 / 54 / 62.,1.0
Master Yi,Wuju Style,Bonus AD ratio reduced to 30% bonus AD from 35%.,1.0
Master Yi,Highlander,Cooldown changed to 100 / 90 / 80 seconds from 85 at all ranks.,-1.0
Aatrox,The Darkin Blade,Sweetspot bonus damage increased to 60% from 50%.,1.0
Ahri,Essence Theft,Bug Fix: No longer triggers from takedowns against clones.,0.0
Ahri,Charm,Bug Fix: Debuff VFX on hit enemies has been restored.,0.0
Amumu,Tantrum,Base damage reduction increased to 5 / 7 / 9 / 11 / 13 from 2 / 4 / 6 / 8 / 10.,1.0
Aphelios,Phase,Bug Fix: Cast bar near the HUD now properly animates upon cast.,0.0
Ashe,Enchanted Crystal Arrow,Missile speed changed to 1500 / 1700 / 1900 / 2100 (based on travel time) from 1600.,1.0
Blitzcrank,Stats,Base health regeneration reduced to 7.5 from 8.5.,1.0
Dr. Mundo,Stats,Attack damage growth reduced to 3.5 from 4.2.,1.0
Dr. Mundo,Maximum Dosage,Cooldown increased to 110 seconds at all ranks from 110 / 100 / 90.,-1.0
Gangplank,Powder Keg,Bug Fix: Casting it no longer grants a stack of  Tear of the Goddess' Mana Charge.,0.0
Illaoi,Stats,Base attack speed increased to 0.625 from 0.571.,1.0
Illaoi,Stats,Attack speed ratio increased to 0.625 from 0.571.,1.0
Illaoi,Harsh Lesson,AD ratio increased to 4% per 100 AD from 2% per 100 AD.,1.0
Illaoi,Test of Spirit,"Bug Fix: If the caster dies while pulling an enemy's spirit, nearby  Tentacles will now properly attack the spirit.",0.0
Janna,Eye of the Storm,Bug Fix: Heal and shield power bonus is no longer gained from knocking up or slowing enemy champions while the ability hasn't even been learned yet.,0.0
Jinx,PROJECT: Jinx,General,-2.0
Jinx,PROJECT: Jinx,Bug Fix: Critical strike hit SFX has been restored.,0.0
Kai'Sa,Living Weapon,Bug Fix: Tooltips and evolution trackers now properly display and account for her current bonus stats.,0.0
Kalista,Stats,Base armor increased to 24 from 21.,1.0
Lucian,Piercing Light,Mana cost reduced to 48 / 56 / 64 / 72 / 80 from 50 / 60 / 70 / 80 / 90.,-1.0
Nami,Tidecaller's Blessing,Base damage per hit increased to 25 / 40 / 55 / 70 / 85 from 20 / 35 / 50 / 65 / 80.,1.0
Neeko,Stats,Hitbox reduced to 65 units from 80.,-2.0
Neeko,Inherent Glamour,"While disguised, now displays the actual buffs rather than the disguised champion's current buffs to the player.",-1.0
Neeko,Inherent Glamour,Enemies will still see the disguised champion's buffs.,-1.0
Neeko,Blooming Burst,Bloom base damage increased to 40 / 65 / 90 / 115 / 140 from 40 / 60 / 80 / 100 / 120.,1.0
Neeko,Shapesplitter,Cooldown reduced to 16 / 15 / 14 / 13 / 12 seconds from 20 / 19 / 18 / 17 / 16.,-1.0
Nunu & Willump,Stats,Health growth reduced to 76 from 82.,1.0
Nunu & Willump,Consume,Healing against champions reduced to 60% from 80%.,1.0
Nunu & Willump,Consume,Base heal against champions reduced to 45 / 66 / 87 / 108 / 129 from 60 / 88 / 116 / 144 / 172.,1.0
Nunu & Willump,Consume,Heal AP ratio against champions reduced 54% AP from 72% AP.,1.0
Nunu & Willump,Consume,Heal health ratio against champions reduced to 6% bonus health from 8%.,1.0
Pyke,PsyOps Pyke, Ghostwater Dive,-2.0
Pyke,PsyOps Pyke,Warning SFX that is played for enemies below  Death from Below's execution threshold has been adjusted for gameplay clarity.,-2.0
Qiyana,Royal Privilege,Bonus AD ratio reduced to 45% bonus AD from 55%.,1.0
Renata Glasc,Leverage (Innate),"Innate: Renata's basic attacks mark enemies for 6 seconds, dealing 1% - 5.25% (based on level) (+1% per 100 AP) of the target's maximum health bonus magic damage if they were unmarked.",1.0
Renata Glasc,Leverage (Innate),Allied  champions' damaging attacks and abilities against marked targets consume the mark to deal 1% - 5.25% (based on level) (+1% per 100 AP) of their maximum health as additional bonus magic damage.,1.0
Renata Glasc,Leverage (Innate),Attacking a marked enemy will only refresh their mark's duration. Marking a different enemy will remove the mark from the previous target. Leverage's damage is capped at 150 against  monsters.,1.0
Renata Glasc,Handshake (Q),"Active: Renata fires a hook out from her robotic arm in the target direction, dealing 80 / 125 / 170 / 215 / 260 (+80% AP) magic damage to the first enemy hit and  rooting them for 1 second, during which they are  revealed and Renata is unable to declare attacks and has her movement speed reduced by 30%. Handshake can be recast while the target is rooted.",1.0
Renata Glasc,Handshake (Q),"Recast: Renata  knocks the target in the target direction, though not through terrain, dealing the same damage to enemies they pass through and  stunning them for 0.5 seconds if the thrown target is a champion.",1.0
Renata Glasc,Handshake (Q),Mana Cost: 80.,-1.0
Renata Glasc,Handshake (Q),Cooldown: 16 seconds.,-1.0
Renata Glasc,Handshake (Q),"Range:  900 / 275, Width:  140, Speed: 1450 / X, Cast Time: 0.25 seconds.",-2.0
Renata Glasc,Bailout (W),"Active: Renata enhances herself or the target allied champion for 5 seconds, granting the target 10 / 15 / 20 / 25 / 30% (+1% per 100 AP) bonus attack speed in addition to 10 / 12.5 / 15 / 17.5 / 20% (+1% per 100 AP) bonus movement speed while they are moving toward nearby  visible enemy champions and minions, both increasing in effectiveness by 100% over the duration. Bailout's duration resets whenever the target scores a  takedown against an enemy champion within 6 seconds of damaging them.",1.0
Renata Glasc,Bailout (W),"If the target takes  fatal damage while Bailout is active, they are restored to 100% of their maximum health but begin burning to take true damage equal to 8.3% of their maximum health every 0.264 seconds until they die from reaching 0 health. If they score a  takedown against an enemy champion within 6 seconds of damaging them while suffering from the burn, it is stopped prematurely and they are set to 35% of their maximum health. This effect may only occur once per application of Bailout while not already active on the target.",1.0
Renata Glasc,Bailout (W),Mana Cost: 80.,-1.0
Renata Glasc,Bailout (W),Cooldown: 28 / 26 / 24 / 22 / 20 seconds.,-1.0
Renata Glasc,Bailout (W),"Target Range:  800, Effect Radius:  1300, Cast Time: None.",-1.0
Renata Glasc,Loyalty Program (E),"Renata sends out a chemtech rocket from either side of her that instantly strike targets around her. After 0.429 seconds they converge and travel to the target location as a single missile, striking targets along its path and exploding upon reaching its target location.",-2.0
Renata Glasc,Loyalty Program (E),Renata and allies struck are granted a 50 / 70 / 90 / 110 / 130 (+50% AP)  shield for 3 seconds and enemies struck are dealt 65 / 95 / 125 / 155 / 185 (+55% AP) magic damage and are  slowed by 30% for 2 seconds.,1.0
Renata Glasc,Loyalty Program (E),Mana Cost: 70 / 80 / 90 / 100 / 110.,-1.0
Renata Glasc,Loyalty Program (E),Cooldown: 14 / 13 / 12 / 11 / 10 seconds.,-1.0
Renata Glasc,Loyalty Program (E),"Target Range: 800, Effect Radius:  325 / 225, Width:  220, Speed: 1450, Cast Time: 0.25 seconds.",-2.0
Renata Glasc,Hostile Takeover (R),"Active: Renata launches a cloud of potent chemicals that spreads out in the target direction, which grants  sight of its surroundings and turns all enemy champions and minions it passes over  berserk for 1.25 / 1.75 / 2.25 seconds.",-2.0
Renata Glasc,Hostile Takeover (R),"Berserk causes afflicted targets to go insane, granting them 100% bonus attack speed and increased size, and forcing them to basic attack the nearest unit, regardless of being allied, enemy, or neutral. They prioritize attacking their own allies, then neutral units, then Renata's allies, then Renata herself.",1.0
Renata Glasc,Hostile Takeover (R),Renata gains kill credit of enemies killed by their berserked allies through their basic attacks. Berserked units can be forced to attack all units except  structures.,-2.0
Renata Glasc,Hostile Takeover (R),Mana Cost: 100.,-1.0
Renata Glasc,Hostile Takeover (R),Cooldown: 150 / 130 / 110 seconds.,-1.0
Renata Glasc,Hostile Takeover (R),"Range:  2000, Effect Radius:  750, Width:  500, Angle: 14°, Speed: 650 - 1000, Cast Time: 0.75 seconds.",-2.0
Rumble,Stats,Base armor increased to 36 from 31.,1.0
Senna,Dawning Shadow,Bug Fix: No longer changes direction if the ability is cast while the cursor is hovering the champion's portrait in the HUD.,0.0
Sett,Stats,Health growth increased to 100 from 93.,1.0
Tahm Kench,Devour,Bug Fix: Can no longer sometimes be cast on enemy champions who had three stacks of an  An Acquired Taste which expired but the caster used certain item actives.,0.0
Veigar,Stats,Base armor reduced to 21 from 23.,1.0
Veigar,Stats,Armor growth increased to 4 from 3.75.,1.0
Veigar,Baleful Strike,"Bug Fix: Tooltip now correctly states that scoring the last hit against enemy champions grant 1 stack of  Phenomenal Evil, not 3.",0.0
Veigar,Event Horizon,Cooldown increased to 20 / 18 / 16 / 14 / 12 seconds from 18 / 16.5 / 15 / 13.5 / 12.,-1.0
Xayah,Bladecaller,Critical strike chance ratio increased to 0% - 75% (based on critical strike chance) from 0% - 50% (based on critical strike chance).,1.0
Yorick,Maiden of the Mist,New Effect: Maiden now gains  ghosting while active.,1.0
Zed,Living Shadow,"Bug Fix: If the ability is recast at a certain timing while a mimicked  Razor Shuriken is in flight, no longer sometimes causes two shurikens to fire from the caster's new position as opposed to one being fired from the caster and the other from the Shadow.",0.0
Zeri,Basic Attack,Uncharged base damage reduced to 10 - 25 (based on level) from 15 - 40 (based on level).,1.0
Zeri,Basic Attack,Uncharged AP ratio reduced to 3% AP from 4% AP.,1.0
Zeri,Basic Attack,Uncharged bonus damage factor against low health targets increased to 500% from 300%.,1.0
Zeri,Basic Attack,Uncharged base damage against low health targets reduced to 60 - 150 (based on level) from 60 - 160 (based on level).,1.0
Zeri,Basic Attack,Uncharged AP ratio against low health targets increased to 18% AP from 16% AP.,1.0
Zeri,Basic Attack,Charged slow duration reduced to 1 second from 1.5.,1.0
Zeri,Basic Attack,New Effect: Now stacks  Tear of the Goddess' Mana Charge.,1.0
Zeri,Burst Fire, Basic Attack slow changed to 14 / 23 / 32 / 41 / 50% from 20 / 25 / 30 / 35 / 40%.,1.0
Zeri,Burst Fire,Total base damage reduced to 9 / 13 / 17 / 21 / 25 from 10 / 15 / 20 / 25 / 30.,1.0
Zeri,Burst Fire,Base damage per hit reduced to 1.29 / 1.86 / 2.43 / 3 / 3.57 from 1.43 / 2.14 / 2.86 / 3.57 / 4.29.,1.0
Zeri,Burst Fire,Bonus attack damage per excess attack speed increased to 0.6 from 0.5.,1.0
Zeri,Burst Fire,Removed: Cooldown is no longer reduced by  Navori Quickblades.,-1.0
Zeri,Burst Fire,Removed: No longer stacks  Tear of the Goddess' Mana Charge.,1.0
Zeri,Burst Fire,New Effect: Base damage is now factored into its  critical strike damage.,1.0
Zeri,Ultrashock Laser,Cooldown changed to 13 / 12 / 11 / 10 / 9 seconds from 10 at all ranks.,-1.0
Zeri,Ultrashock Laser,Slow reduced to 30 / 40 / 50 / 60 / 70% from 50 / 55 / 60 / 65 / 70%.,1.0
Zeri,Spark Surge,Cooldown increased to 23 / 22 / 21 / 20 / 19 seconds from 23 / 21.5 / 20 / 18.5 / 17.,-1.0
Zeri,Spark Surge,Cooldown reduction reduced to 1 second from 1.5.,1.0
Zeri,Lightning Crash,Bonus attack speed reduced to 30% at all ranks from 30 / 35 / 40%.,1.0
Zoe,Spell Thief,Bug Fix: Ability icon will now display the correct damage value for an acquired  Smite.,0.0
Draven,Whirling Death,Bug Fix: Fixed a bug where it would become unusable if destroyed by an ability like  Yasuo's  Wind Wall or  Braum's  Unbreakable.,0.0
Rek'Sai,Queen's Wrath,Bug Fix: Fixed a bug where it was not reducing the cast time on her empowered basic attacks.,0.0
Renata Glasc,Stats,Armor growth reduced to 3.5 from 4.,1.0
Renata Glasc,Leverage,Initial base damage reduced to 1% - 3.5% (based on level) of target's maximum health from 1% - 5.25% (based on level).,1.0
Renata Glasc,Leverage,Ally base damage reduced to 1% - 3.5% (based on level) of target's maximum health from 1% - 5.25% (based on level).,1.0
Renata Glasc,Bailout,Cooldown increased to 28 / 27 / 26 / 25 / 24 seconds from 28 / 26 / 24 / 22 / 20.,-1.0
Renata Glasc,Bailout,Bleed out timer reduced to 2.5 seconds from 3.,1.0
Renata Glasc,Bailout,Burn true damage per 0.25 seconds increased to 10% of target's maximum health from 8.3%.,1.0
Renata Glasc,Bailout,Revive health reduced to 20% maximum health from 35%.,1.0
Ahri,Stats,Base health reduced to 500 from 526.,1.0
Ahri,Stats,Health growth reduced to 82 from 92.,1.0
Ahri,Stats,Base health regeneration reduced to 2.5 from 5.5.,1.0
Ahri,Stats,Base armor reduced to 18 from 21.,1.0
Ahri,Essence Theft,"New Innate Effect: Ahri gains 1 Essence Fragment whenever she kills a minion or monster. After obtaining 9 fragments, she consumes them to heal herself for 40 - 120 (based on level) (+25% AP).",1.0
Ahri,Essence Theft,"Old Innate Effect: Ahri's abilities grant a stack of Essence Theft for each enemy hit, up to 3 stacks per ability cast. Upon reaching 9 stacks, Ahri's next ability heals her for 3 / 5 / 9 / 18 (based on level) (+9% AP) for each enemy hit and consumes the stacks if at least one enemy is hit.",1.0
Ahri,Essence Theft,"New Innate Effect: When Ahri scores a  takedown against an enemy champion within 3 seconds of damaging them, she consumes their essence to heal herself for 80 - 200 (based on level) (+35% AP).",1.0
Ahri,Essence Theft,VFX and SFX have been updated for all skins.,-2.0
Ahri,Orb of Deception,Mana cost changed to 60 / 70 / 80 / 90 / 100 from 65 / 70 / 75 / 80 / 85.,-1.0
Ahri,Orb of Deception,AP ratio increased to 40% AP from 35% AP.,1.0
Ahri,Fox-Fire,Base damage increased to 60 / 85 / 110 / 135 / 160 from 40 / 65 / 90 / 115 / 140.,1.0
Ahri,Fox-Fire,Mana cost reduced to 25 from 45.,-1.0
Ahri,Fox-Fire,Flame duration reduced to 2.5 seconds from 5.,1.0
Ahri,Fox-Fire,Bonus movement speed duration increased to 2 seconds from 1.5.,1.0
Ahri,Fox-Fire,Improved missile targeting and last hitting logic.,-2.0
Ahri,Fox-Fire,Cleaned up VFX and enhanced missile movement.,-2.0
Ahri,Charm,Base damage increased to 80 / 110 / 140 / 170 / 200 from 60 / 90 / 120 / 150 / 180.,1.0
Ahri,Charm,AP ratio increased to 60% AP from 40% AP.,1.0
Ahri,Charm,Mana cost reduced to 50 from 70.,-1.0
Ahri,Charm,"Removed: Hitting an enemy with Charm no longer renders them vulnerable for 3 seconds, making them take 20% bonus damage from her abilities, including the Charm that triggered it.",1.0
Ahri,Spirit Rush,Recast duration increased to 15 seconds from 10.,1.0
Ahri,Spirit Rush,"New Effect: Cooldown now begins after the first cast, rather than after the effect ends.",-1.0
Ahri,Spirit Rush,"New Effect: Consuming a champion's essence with  Essence Theft while active extends the ability's recast duration by and up to 10 seconds and grants an additional recast, storing up to 3 recasts.",1.0
Ahri,Spirit Rush,Recast duration now persists after using all recasts.,1.0
Ahri,Spirit Rush,Cleaned up VFX and new ammo bar icons have been added to indicate the number of stored casts.,-2.0
Akshan,Dirty Fighting,Base bonus movement speed reduced to 20 - 75 (based on level) from 35 - 75 (based on level).,1.0
Akshan,Dirty Fighting,Base damage reduced to 10 - 165 (based on level) from 20 - 175 (based on level).,1.0
Amumu,General,"Base voice lines have been remastered to sound clearer, cleaner, and smoother.",-2.0
Amumu,Stats,Armor growth reduced to 3 from 3.5.,1.0
Amumu,Tantrum,New Effect: Damage reduction is now capped at 50% of the damage instance.,1.0
Brand,Blaze,New Effect: Mana restore now occurs if the ability kills the target.,1.0
Brand,Pyroclasm,Now prioritizes bouncing to nearby targets before bouncing to Brand.,-2.0
Caitlyn,Stats,Attack damage growth reduced to 3.4 from 3.8.,1.0
Caitlyn,Piltover Peacemaker,Damage against secondary targets reduced to 50% from 60%.,1.0
Caitlyn,Ace in the Hole,"Bug Fix: Channel no longer improperly starts when  feared during the cast time, thus refunding the ability's cooldown despite not being cancelled.",0.0
Corki,Hextech Munitions,Package spawn time increased to 10:00 from 8:00.,-1.0
Corki,Hextech Munitions,Package respawn timer increased to 300 seconds from 240.,-1.0
Darius,General,"Base voice lines have been remastered to sound clearer, cleaner, and smoother.",-2.0
Kled,Unmounted,Bug Fix: Courage bar now properly displays correct values when Skaarl is lost.,0.0
Kled,Violent Tendencies,Bug Fix: Fourth attack now properly deals its bonus damage if the ability was learned while winding up the basic attack.,0.0
LeBlanc,Distortion,Base damage reduced to 75 / 110 / 145 / 180 / 215 from 75 / 115 / 155 / 195 / 235.,1.0
Lillia,Lilting Lullaby,Sleep duration increased to 2 / 2.25 / 2.5 seconds from 1.5 / 2 / 2.5.,1.0
Nami,Surging Tides,Base bonus movement speed increased to 90 from 45.,1.0
Nami,Surging Tides,Base bonus movement speed granted by  Tidal Wave increased to 180 from 90.,1.0
Nami,Surging Tides,New Effect: Bonus movement speed now decays over the duration.,1.0
Nami,Tidecaller's Blessing,Base damage per hit reduced to 20 / 35 / 50 / 65 / 80 from 25 / 40 / 55 / 70 / 85.,1.0
Quinn,Heightened Senses,Bonus attack speed increased to 28 / 36 / 44 / 52 / 60% from 20 / 30 / 40 / 50 / 60%.,1.0
Quinn,Skystrike,AD ratio increased to 70% AD from 40% AD.,1.0
Samira,Daredevil Impulse,Bug Fix: No longer grants an additional Style stack from executing an enemy champion with  The Collector's Death and Taxes.,0.0
Senna,Absolution,Mist Wraith spawn rate on minions she kills reduced to 2.7% from 10%.,1.0
Skarner,Battlecast Alpha Skarner,Bug Fix: SFX of marking a minion with Crystal Venom by hitting  Fracture and gaining  Crystal Charge from triggering Crystal Venom now properly play correctly.,0.0
Talon,Shadow Assault,Bug Fix: Blades no longer briefly disappear for a frame on cast of the VFX.,0.0
Twisted Fate,Wild Cards,Base damage reduced to 60 / 100 / 140 / 180 / 220 from 60 / 105 / 150 / 195 / 240.,1.0
Twisted Fate,Wild Cards,AP ratio increased to 70% AP from 65% AP.,1.0
Twisted Fate,Stacked Deck,Bonus attack speed reduced to 10 / 17.5 / 25 / 32.5 / 40% from 20 / 25 / 30 / 35 / 40%.,1.0
Varus,Piercing Arrow,Bug Fix: Charge cancellation VFX has been restored for all skins.,0.0
Vel'Koz,General,Updated visual effects.,-2.0
Vel'Koz,Original Vel'Koz,Complete overhaul and adjusted hitbox indicators.,-2.0
Vel'Koz,Battlecast Vel'Koz,Some cleanup.,-2.0
Vel'Koz,Arclight Vel'Koz,Cleanup and new E indicator.,-2.0
Vel'Koz,Infernal Vel'Koz,Minor tweaks and new E indicator.,-2.0
Vel'Koz,Blackfrost Vel'Koz,Minor tweaks and new E indicator.,-2.0
Zeri,General,Bug Fix: Several VFX now properly display correctly upon reconnecting to a game.,0.0
Zeri,Stats,Base movement speed reduced to 325 from 330.,1.0
Zeri,Basic Attack,Health ratio reduced to 3% - 15% (based on level) of target's maximum health from 3% - 20% (based on level),1.0
Zeri,Burst Fire,Bug Fix:  Runaan's Hurricane Winds Fury now triggers even if she is facing away from the target when the rounds hit.,0.0
Zeri,Spark Surge,Bug Fix: Now properly vaults over  Anivia's  Crystallize and  Trundle's  Pillar of Ice instead of dashing over them.,0.0
Zeri,Lightning Crash,Chain lightning base damage reduced to 10 / 15 / 20 from 10 / 20 / 30.,1.0
Zeri,Lightning Crash,New Effect: Chain lightning magic damage can now critically strike.,1.0
Ahri,Charm,Bug Fix: Fixed a bug where it could interrupt unstoppable enemies.,0.0
Seraphine,Stage Presence,Bug Fix: Fixed a bug where her abilities would get canceled if cast while attacking an enemy with an empowered basic attack.,0.0
Twisted Fate,Pick a Card,Bug Fix: Now properly uses a 0.25-second cast time for the empowered attack.,0.0
Janna,Stats,Base movement speed reduced to 325 from 330.,1.0
Janna,Zephyr,Bonus movement speed reduced to 6 / 7.5 / 9 / 10.5 / 12% from 8 / 9 / 10 / 11 / 12%.,1.0
Janna,Eye of the Storm,Heal and shield power duration reduced to 4 seconds from 5.,1.0
Akshan,Heroic Swing,Bug Fix: Attack move on cursor now properly counts as a movement command for automatically using the second or third cast.,0.0
Akshan,Heroic Swing,Inputting attack move before the hook hits will now buffer the second cast to be used when it does hit.,-2.0
Janna,Stats,Base movement speed increased to 330 from 315.,1.0
Janna,Stats,Base attack damage increased to 52 from 46.,1.0
Janna,Stats,Attack damage growth increased to 3 from 1.5.,1.0
Janna,Stats,Attack speed growth increased to 3% from 2.95%.,1.0
Janna,Stats,Base attack range reduced to 500 from 550.,1.0
Janna,Tailwind,New Effect:,-2.0
Janna,Tailwind,"While moving towards allied  champions, Janna gains 8% bonus movement speed.",1.0
Janna,Tailwind,Nearby allied champions moving towards her gain 8% bonus movement speed.,1.0
Janna,Tailwind,Old Effect:,-2.0
Janna,Tailwind,Janna gains 8% bonus movement speed and grants the same amount to nearby allied  champions moving towards her.,1.0
Janna,Tailwind,Janna's basic attacks  on-hit and  Zephyr deal bonus magic damage equal to 25 / 35% (based on level) of her bonus movement speed.,1.0
Janna,Howling Gale,Mana cost reduced to 60 / 70 / 80 / 90 / 100 from 60 / 80 / 100 / 120 / 140.,-1.0
Janna,Howling Gale,Minimum range increased to 1100 units from 1000.,1.0
Janna,Howling Gale,Maximum range increased to 1760 units from 1750.,1.0
Janna,Howling Gale,Travel time reduced to 1.25 seconds from 1.5.,-1.0
Janna,Zephyr,Cast range increased to 650 units from 550.,1.0
Janna,Zephyr,Targeting changed to center to center from edge to edge.,-2.0
Janna,Zephyr,Slow duration increased to 3 seconds from 2.,1.0
Janna,Zephyr,Cooldown increased to 12 seconds at all ranks from 8 / 7.5 / 7 / 6.5 / 6.,-1.0
