,champion,about,text,impact
43,Seraphine,Surround Sound,Self base shield changed to 60 / 80 / 100 / 120 / 140 from 75 - 225 (based on level).,1.0
44,Seraphine,Surround Sound,Self shield AP ratio reduced to 40% AP from 45% AP.,1.0
45,Seraphine,Surround Sound,Ally base shield changed to 60 / 80 / 100 / 120 / 140 from 50 - 150 (based on level).,1.0
46,Seraphine,Surround Sound,Ally shield AP ratio increased to 40% AP from 30% AP.,1.0
47,Seraphine,Surround Sound,Base heal increased to 5 / 5.5 / 6 / 6.5 / 7% missing health from 5% at all ranks.,1.0
48,Seraphine,Surround Sound,Heal AP ratio reduced to 0.75% per 100 AP from 1.125% per 100 AP.,1.0
49,Seraphine,Beat Drop,Cooldown reduced to 11 / 10.5 / 10 / 9.5 / 9 seconds from 13 / 12 / 11 / 10 / 9.,-1.0
50,Sett,The Show Stopper,Bug Fix: Caster no longer becomes locked out of their basic abilities if they are performing The Show Stopper while  Berserked and their target dies in the process.,0.0
51,Sona,Power Chord,Bug Fix: Empowered basic attack is now properly consumed and applied when used against allied units while  Berserked.,0.0
52,Vel'Koz,Lifeform Disintegration Ray,"Bug Fix: When it is cast in spectate mode, no longer causes the game replay to crash.",0.0
53,Viego,Sovereign's Domination,Bug Fix:  Magical Footwear no longer sometimes grants him duplicate  Slightly Magical Boots.,0.0
54,Viego,Sovereign's Domination,Bug Fix: No longer permanently gains  Rock Surfing after possessing  Taliyah.,0.0
55,Viego,Sovereign's Domination,"Bug Fix:  Ornn is now properly able to forge items for him with  Living Forge, even if an enemy champion was possessed at one point.",0.0
56,Xin Zhao,Audacious Charge,Cooldown increased to 12 seconds from 11.,-1.0
57,Xin Zhao,Crescent Guard,Duration reduced to 4 seconds from 5.,1.0
58,Yorick,Eulogy of the Isles,Bug Fix: Maiden of the Mist now properly displays an icon on the minimap.,0.0
59,Yorick,Eulogy of the Isles,Bug Fix: Maiden of the Mist and Ghouls now properly disappear when the caster dies.,0.0
60,Master Yi,Stats,Base health reduced to 550 from 599.,1.0
61,Master Yi,Alpha Strike,AD ratio reduced to 50% AD from 60% AD.,1.0
62,Master Yi,Alpha Strike,Critical strike bonus damage AD ratio reduced to (17.5% + 6.125%) AD from (30% + 10.5%) AD.,1.0
63,Master Yi,Alpha Strike,Subsequent hits critical strike bonus damage AD ratio reduced to (4.375% + 1.53125%) AD from (7.5% + 2.625%) AD.,1.0
64,Master Yi,Alpha Strike,On-hit modifier reduced to 75% from 100%.,1.0
65,Master Yi,Alpha Strike,Subsequent hit on-hit modifier reduced to 18.75% from 25%.,1.0
66,Master Yi,Wuju Style,Base bonus true damage reduced to 30 / 37 / 44 / 51 / 58 from 30 / 38 / 46 / 54 / 62.,1.0
67,Master Yi,Wuju Style,Bonus AD ratio reduced to 30% bonus AD from 35%.,1.0
68,Master Yi,Highlander,Cooldown changed to 100 / 90 / 80 seconds from 85 at all ranks.,-1.0
69,Aatrox,The Darkin Blade,Sweetspot bonus damage increased to 60% from 50%.,1.0
70,Ahri,Essence Theft,Bug Fix: No longer triggers from takedowns against clones.,0.0
71,Ahri,Charm,Bug Fix: Debuff VFX on hit enemies has been restored.,0.0
72,Amumu,Tantrum,Base damage reduction increased to 5 / 7 / 9 / 11 / 13 from 2 / 4 / 6 / 8 / 10.,1.0
73,Aphelios,Phase,Bug Fix: Cast bar near the HUD now properly animates upon cast.,0.0
74,Ashe,Enchanted Crystal Arrow,Missile speed changed to 1500 / 1700 / 1900 / 2100 (based on travel time) from 1600.,1.0
75,Blitzcrank,Stats,Base health regeneration reduced to 7.5 from 8.5.,1.0
76,Dr. Mundo,Stats,Attack damage growth reduced to 3.5 from 4.2.,1.0
77,Dr. Mundo,Maximum Dosage,Cooldown increased to 110 seconds at all ranks from 110 / 100 / 90.,-1.0
78,Gangplank,Powder Keg,Bug Fix: Casting it no longer grants a stack of  Tear of the Goddess' Mana Charge.,0.0
79,Illaoi,Stats,Base attack speed increased to 0.625 from 0.571.,1.0
80,Illaoi,Stats,Attack speed ratio increased to 0.625 from 0.571.,1.0
81,Illaoi,Harsh Lesson,AD ratio increased to 4% per 100 AD from 2% per 100 AD.,1.0
82,Illaoi,Test of Spirit,"Bug Fix: If the caster dies while pulling an enemy's spirit, nearby  Tentacles will now properly attack the spirit.",0.0
83,Janna,Eye of the Storm,Bug Fix: Heal and shield power bonus is no longer gained from knocking up or slowing enemy champions while the ability hasn't even been learned yet.,0.0
85,Jinx,PROJECT: Jinx,Bug Fix: Critical strike hit SFX has been restored.,0.0
86,Kai'Sa,Living Weapon,Bug Fix: Tooltips and evolution trackers now properly display and account for her current bonus stats.,0.0
87,Kalista,Stats,Base armor increased to 24 from 21.,1.0
88,Lucian,Piercing Light,Mana cost reduced to 48 / 56 / 64 / 72 / 80 from 50 / 60 / 70 / 80 / 90.,-1.0
89,Nami,Tidecaller's Blessing,Base damage per hit increased to 25 / 40 / 55 / 70 / 85 from 20 / 35 / 50 / 65 / 80.,1.0
91,Neeko,Inherent Glamour,"While disguised, now displays the actual buffs rather than the disguised champion's current buffs to the player.",-1.0
92,Neeko,Inherent Glamour,Enemies will still see the disguised champion's buffs.,-1.0
93,Neeko,Blooming Burst,Bloom base damage increased to 40 / 65 / 90 / 115 / 140 from 40 / 60 / 80 / 100 / 120.,1.0
94,Neeko,Shapesplitter,Cooldown reduced to 16 / 15 / 14 / 13 / 12 seconds from 20 / 19 / 18 / 17 / 16.,-1.0
95,Nunu & Willump,Stats,Health growth reduced to 76 from 82.,1.0
96,Nunu & Willump,Consume,Healing against champions reduced to 60% from 80%.,1.0
97,Nunu & Willump,Consume,Base heal against champions reduced to 45 / 66 / 87 / 108 / 129 from 60 / 88 / 116 / 144 / 172.,1.0
98,Nunu & Willump,Consume,Heal AP ratio against champions reduced 54% AP from 72% AP.,1.0
99,Nunu & Willump,Consume,Heal health ratio against champions reduced to 6% bonus health from 8%.,1.0
102,Qiyana,Royal Privilege,Bonus AD ratio reduced to 45% bonus AD from 55%.,1.0
103,Renata Glasc,Leverage (Innate),"Innate: Renata's basic attacks mark enemies for 6 seconds, dealing 1% - 5.25% (based on level) (+1% per 100 AP) of the target's maximum health bonus magic damage if they were unmarked.",1.0
104,Renata Glasc,Leverage (Innate),Allied  champions' damaging attacks and abilities against marked targets consume the mark to deal 1% - 5.25% (based on level) (+1% per 100 AP) of their maximum health as additional bonus magic damage.,1.0
105,Renata Glasc,Leverage (Innate),Attacking a marked enemy will only refresh their mark's duration. Marking a different enemy will remove the mark from the previous target. Leverage's damage is capped at 150 against  monsters.,1.0
106,Renata Glasc,Handshake (Q),"Active: Renata fires a hook out from her robotic arm in the target direction, dealing 80 / 125 / 170 / 215 / 260 (+80% AP) magic damage to the first enemy hit and  rooting them for 1 second, during which they are  revealed and Renata is unable to declare attacks and has her movement speed reduced by 30%. Handshake can be recast while the target is rooted.",1.0
107,Renata Glasc,Handshake (Q),"Recast: Renata  knocks the target in the target direction, though not through terrain, dealing the same damage to enemies they pass through and  stunning them for 0.5 seconds if the thrown target is a champion.",1.0
108,Renata Glasc,Handshake (Q),Mana Cost: 80.,-1.0
109,Renata Glasc,Handshake (Q),Cooldown: 16 seconds.,-1.0
111,Renata Glasc,Bailout (W),"Active: Renata enhances herself or the target allied champion for 5 seconds, granting the target 10 / 15 / 20 / 25 / 30% (+1% per 100 AP) bonus attack speed in addition to 10 / 12.5 / 15 / 17.5 / 20% (+1% per 100 AP) bonus movement speed while they are moving toward nearby  visible enemy champions and minions, both increasing in effectiveness by 100% over the duration. Bailout's duration resets whenever the target scores a  takedown against an enemy champion within 6 seconds of damaging them.",1.0
112,Renata Glasc,Bailout (W),"If the target takes  fatal damage while Bailout is active, they are restored to 100% of their maximum health but begin burning to take true damage equal to 8.3% of their maximum health every 0.264 seconds until they die from reaching 0 health. If they score a  takedown against an enemy champion within 6 seconds of damaging them while suffering from the burn, it is stopped prematurely and they are set to 35% of their maximum health. This effect may only occur once per application of Bailout while not already active on the target.",1.0
113,Renata Glasc,Bailout (W),Mana Cost: 80.,-1.0
114,Renata Glasc,Bailout (W),Cooldown: 28 / 26 / 24 / 22 / 20 seconds.,-1.0
115,Renata Glasc,Bailout (W),"Target Range:  800, Effect Radius:  1300, Cast Time: None.",-1.0
117,Renata Glasc,Loyalty Program (E),Renata and allies struck are granted a 50 / 70 / 90 / 110 / 130 (+50% AP)  shield for 3 seconds and enemies struck are dealt 65 / 95 / 125 / 155 / 185 (+55% AP) magic damage and are  slowed by 30% for 2 seconds.,1.0
118,Renata Glasc,Loyalty Program (E),Mana Cost: 70 / 80 / 90 / 100 / 110.,-1.0
119,Renata Glasc,Loyalty Program (E),Cooldown: 14 / 13 / 12 / 11 / 10 seconds.,-1.0
122,Renata Glasc,Hostile Takeover (R),"Berserk causes afflicted targets to go insane, granting them 100% bonus attack speed and increased size, and forcing them to basic attack the nearest unit, regardless of being allied, enemy, or neutral. They prioritize attacking their own allies, then neutral units, then Renata's allies, then Renata herself.",1.0
124,Renata Glasc,Hostile Takeover (R),Mana Cost: 100.,-1.0
125,Renata Glasc,Hostile Takeover (R),Cooldown: 150 / 130 / 110 seconds.,-1.0
127,Rumble,Stats,Base armor increased to 36 from 31.,1.0
128,Senna,Dawning Shadow,Bug Fix: No longer changes direction if the ability is cast while the cursor is hovering the champion's portrait in the HUD.,0.0
129,Sett,Stats,Health growth increased to 100 from 93.,1.0
130,Tahm Kench,Devour,Bug Fix: Can no longer sometimes be cast on enemy champions who had three stacks of an  An Acquired Taste which expired but the caster used certain item actives.,0.0
131,Veigar,Stats,Base armor reduced to 21 from 23.,1.0
132,Veigar,Stats,Armor growth increased to 4 from 3.75.,1.0
133,Veigar,Baleful Strike,"Bug Fix: Tooltip now correctly states that scoring the last hit against enemy champions grant 1 stack of  Phenomenal Evil, not 3.",0.0
134,Veigar,Event Horizon,Cooldown increased to 20 / 18 / 16 / 14 / 12 seconds from 18 / 16.5 / 15 / 13.5 / 12.,-1.0
135,Xayah,Bladecaller,Critical strike chance ratio increased to 0% - 75% (based on critical strike chance) from 0% - 50% (based on critical strike chance).,1.0
136,Yorick,Maiden of the Mist,New Effect: Maiden now gains  ghosting while active.,1.0
137,Zed,Living Shadow,"Bug Fix: If the ability is recast at a certain timing while a mimicked  Razor Shuriken is in flight, no longer sometimes causes two shurikens to fire from the caster's new position as opposed to one being fired from the caster and the other from the Shadow.",0.0
138,Zeri,Basic Attack,Uncharged base damage reduced to 10 - 25 (based on level) from 15 - 40 (based on level).,1.0
139,Zeri,Basic Attack,Uncharged AP ratio reduced to 3% AP from 4% AP.,1.0
140,Zeri,Basic Attack,Uncharged bonus damage factor against low health targets increased to 500% from 300%.,1.0
141,Zeri,Basic Attack,Uncharged base damage against low health targets reduced to 60 - 150 (based on level) from 60 - 160 (based on level).,1.0
142,Zeri,Basic Attack,Uncharged AP ratio against low health targets increased to 18% AP from 16% AP.,1.0
143,Zeri,Basic Attack,Charged slow duration reduced to 1 second from 1.5.,1.0
144,Zeri,Basic Attack,New Effect: Now stacks  Tear of the Goddess' Mana Charge.,1.0
145,Zeri,Burst Fire, Basic Attack slow changed to 14 / 23 / 32 / 41 / 50% from 20 / 25 / 30 / 35 / 40%.,1.0
146,Zeri,Burst Fire,Total base damage reduced to 9 / 13 / 17 / 21 / 25 from 10 / 15 / 20 / 25 / 30.,1.0
147,Zeri,Burst Fire,Base damage per hit reduced to 1.29 / 1.86 / 2.43 / 3 / 3.57 from 1.43 / 2.14 / 2.86 / 3.57 / 4.29.,1.0
148,Zeri,Burst Fire,Bonus attack damage per excess attack speed increased to 0.6 from 0.5.,1.0
149,Zeri,Burst Fire,Removed: Cooldown is no longer reduced by  Navori Quickblades.,-1.0
150,Zeri,Burst Fire,Removed: No longer stacks  Tear of the Goddess' Mana Charge.,1.0
151,Zeri,Burst Fire,New Effect: Base damage is now factored into its  critical strike damage.,1.0
152,Zeri,Ultrashock Laser,Cooldown changed to 13 / 12 / 11 / 10 / 9 seconds from 10 at all ranks.,-1.0
153,Zeri,Ultrashock Laser,Slow reduced to 30 / 40 / 50 / 60 / 70% from 50 / 55 / 60 / 65 / 70%.,1.0
154,Zeri,Spark Surge,Cooldown increased to 23 / 22 / 21 / 20 / 19 seconds from 23 / 21.5 / 20 / 18.5 / 17.,-1.0
155,Zeri,Spark Surge,Cooldown reduction reduced to 1 second from 1.5.,1.0
156,Zeri,Lightning Crash,Bonus attack speed reduced to 30% at all ranks from 30 / 35 / 40%.,1.0
157,Zoe,Spell Thief,Bug Fix: Ability icon will now display the correct damage value for an acquired  Smite.,0.0
158,Draven,Whirling Death,Bug Fix: Fixed a bug where it would become unusable if destroyed by an ability like  Yasuo's  Wind Wall or  Braum's  Unbreakable.,0.0
159,Rek'Sai,Queen's Wrath,Bug Fix: Fixed a bug where it was not reducing the cast time on her empowered basic attacks.,0.0
160,Renata Glasc,Stats,Armor growth reduced to 3.5 from 4.,1.0
161,Renata Glasc,Leverage,Initial base damage reduced to 1% - 3.5% (based on level) of target's maximum health from 1% - 5.25% (based on level).,1.0
162,Renata Glasc,Leverage,Ally base damage reduced to 1% - 3.5% (based on level) of target's maximum health from 1% - 5.25% (based on level).,1.0
163,Renata Glasc,Bailout,Cooldown increased to 28 / 27 / 26 / 25 / 24 seconds from 28 / 26 / 24 / 22 / 20.,-1.0
164,Renata Glasc,Bailout,Bleed out timer reduced to 2.5 seconds from 3.,1.0
165,Renata Glasc,Bailout,Burn true damage per 0.25 seconds increased to 10% of target's maximum health from 8.3%.,1.0
166,Renata Glasc,Bailout,Revive health reduced to 20% maximum health from 35%.,1.0
167,Ahri,Stats,Base health reduced to 500 from 526.,1.0
168,Ahri,Stats,Health growth reduced to 82 from 92.,1.0
169,Ahri,Stats,Base health regeneration reduced to 2.5 from 5.5.,1.0
170,Ahri,Stats,Base armor reduced to 18 from 21.,1.0
171,Ahri,Essence Theft,"New Innate Effect: Ahri gains 1 Essence Fragment whenever she kills a minion or monster. After obtaining 9 fragments, she consumes them to heal herself for 40 - 120 (based on level) (+25% AP).",1.0
172,Ahri,Essence Theft,"Old Innate Effect: Ahri's abilities grant a stack of Essence Theft for each enemy hit, up to 3 stacks per ability cast. Upon reaching 9 stacks, Ahri's next ability heals her for 3 / 5 / 9 / 18 (based on level) (+9% AP) for each enemy hit and consumes the stacks if at least one enemy is hit.",1.0
173,Ahri,Essence Theft,"New Innate Effect: When Ahri scores a  takedown against an enemy champion within 3 seconds of damaging them, she consumes their essence to heal herself for 80 - 200 (based on level) (+35% AP).",1.0
175,Ahri,Orb of Deception,Mana cost changed to 60 / 70 / 80 / 90 / 100 from 65 / 70 / 75 / 80 / 85.,-1.0
176,Ahri,Orb of Deception,AP ratio increased to 40% AP from 35% AP.,1.0
177,Ahri,Fox-Fire,Base damage increased to 60 / 85 / 110 / 135 / 160 from 40 / 65 / 90 / 115 / 140.,1.0
178,Ahri,Fox-Fire,Mana cost reduced to 25 from 45.,-1.0
179,Ahri,Fox-Fire,Flame duration reduced to 2.5 seconds from 5.,1.0
180,Ahri,Fox-Fire,Bonus movement speed duration increased to 2 seconds from 1.5.,1.0
183,Ahri,Charm,Base damage increased to 80 / 110 / 140 / 170 / 200 from 60 / 90 / 120 / 150 / 180.,1.0
184,Ahri,Charm,AP ratio increased to 60% AP from 40% AP.,1.0
185,Ahri,Charm,Mana cost reduced to 50 from 70.,-1.0
186,Ahri,Charm,"Removed: Hitting an enemy with Charm no longer renders them vulnerable for 3 seconds, making them take 20% bonus damage from her abilities, including the Charm that triggered it.",1.0
187,Ahri,Spirit Rush,Recast duration increased to 15 seconds from 10.,1.0
188,Ahri,Spirit Rush,"New Effect: Cooldown now begins after the first cast, rather than after the effect ends.",-1.0
189,Ahri,Spirit Rush,"New Effect: Consuming a champion's essence with  Essence Theft while active extends the ability's recast duration by and up to 10 seconds and grants an additional recast, storing up to 3 recasts.",1.0
190,Ahri,Spirit Rush,Recast duration now persists after using all recasts.,1.0
192,Akshan,Dirty Fighting,Base bonus movement speed reduced to 20 - 75 (based on level) from 35 - 75 (based on level).,1.0
193,Akshan,Dirty Fighting,Base damage reduced to 10 - 165 (based on level) from 20 - 175 (based on level).,1.0
195,Amumu,Stats,Armor growth reduced to 3 from 3.5.,1.0
196,Amumu,Tantrum,New Effect: Damage reduction is now capped at 50% of the damage instance.,1.0
197,Brand,Blaze,New Effect: Mana restore now occurs if the ability kills the target.,1.0
199,Caitlyn,Stats,Attack damage growth reduced to 3.4 from 3.8.,1.0
200,Caitlyn,Piltover Peacemaker,Damage against secondary targets reduced to 50% from 60%.,1.0
201,Caitlyn,Ace in the Hole,"Bug Fix: Channel no longer improperly starts when  feared during the cast time, thus refunding the ability's cooldown despite not being cancelled.",0.0
202,Corki,Hextech Munitions,Package spawn time increased to 10:00 from 8:00.,-1.0
203,Corki,Hextech Munitions,Package respawn timer increased to 300 seconds from 240.,-1.0
205,Kled,Unmounted,Bug Fix: Courage bar now properly displays correct values when Skaarl is lost.,0.0
206,Kled,Violent Tendencies,Bug Fix: Fourth attack now properly deals its bonus damage if the ability was learned while winding up the basic attack.,0.0
207,LeBlanc,Distortion,Base damage reduced to 75 / 110 / 145 / 180 / 215 from 75 / 115 / 155 / 195 / 235.,1.0
208,Lillia,Lilting Lullaby,Sleep duration increased to 2 / 2.25 / 2.5 seconds from 1.5 / 2 / 2.5.,1.0
209,Nami,Surging Tides,Base bonus movement speed increased to 90 from 45.,1.0
210,Nami,Surging Tides,Base bonus movement speed granted by  Tidal Wave increased to 180 from 90.,1.0
211,Nami,Surging Tides,New Effect: Bonus movement speed now decays over the duration.,1.0
212,Nami,Tidecaller's Blessing,Base damage per hit reduced to 20 / 35 / 50 / 65 / 80 from 25 / 40 / 55 / 70 / 85.,1.0
213,Quinn,Heightened Senses,Bonus attack speed increased to 28 / 36 / 44 / 52 / 60% from 20 / 30 / 40 / 50 / 60%.,1.0
214,Quinn,Skystrike,AD ratio increased to 70% AD from 40% AD.,1.0
215,Samira,Daredevil Impulse,Bug Fix: No longer grants an additional Style stack from executing an enemy champion with  The Collector's Death and Taxes.,0.0
216,Senna,Absolution,Mist Wraith spawn rate on minions she kills reduced to 2.7% from 10%.,1.0
217,Skarner,Battlecast Alpha Skarner,Bug Fix: SFX of marking a minion with Crystal Venom by hitting  Fracture and gaining  Crystal Charge from triggering Crystal Venom now properly play correctly.,0.0
218,Talon,Shadow Assault,Bug Fix: Blades no longer briefly disappear for a frame on cast of the VFX.,0.0
219,Twisted Fate,Wild Cards,Base damage reduced to 60 / 100 / 140 / 180 / 220 from 60 / 105 / 150 / 195 / 240.,1.0
220,Twisted Fate,Wild Cards,AP ratio increased to 70% AP from 65% AP.,1.0
221,Twisted Fate,Stacked Deck,Bonus attack speed reduced to 10 / 17.5 / 25 / 32.5 / 40% from 20 / 25 / 30 / 35 / 40%.,1.0
222,Varus,Piercing Arrow,Bug Fix: Charge cancellation VFX has been restored for all skins.,0.0
229,Zeri,General,Bug Fix: Several VFX now properly display correctly upon reconnecting to a game.,0.0
230,Zeri,Stats,Base movement speed reduced to 325 from 330.,1.0
231,Zeri,Basic Attack,Health ratio reduced to 3% - 15% (based on level) of target's maximum health from 3% - 20% (based on level),1.0
232,Zeri,Burst Fire,Bug Fix:  Runaan's Hurricane Winds Fury now triggers even if she is facing away from the target when the rounds hit.,0.0
233,Zeri,Spark Surge,Bug Fix: Now properly vaults over  Anivia's  Crystallize and  Trundle's  Pillar of Ice instead of dashing over them.,0.0
234,Zeri,Lightning Crash,Chain lightning base damage reduced to 10 / 15 / 20 from 10 / 20 / 30.,1.0
235,Zeri,Lightning Crash,New Effect: Chain lightning magic damage can now critically strike.,1.0
236,Ahri,Charm,Bug Fix: Fixed a bug where it could interrupt unstoppable enemies.,0.0
237,Seraphine,Stage Presence,Bug Fix: Fixed a bug where her abilities would get canceled if cast while attacking an enemy with an empowered basic attack.,0.0
238,Twisted Fate,Pick a Card,Bug Fix: Now properly uses a 0.25-second cast time for the empowered attack.,0.0
239,Janna,Stats,Base movement speed reduced to 325 from 330.,1.0
240,Janna,Zephyr,Bonus movement speed reduced to 6 / 7.5 / 9 / 10.5 / 12% from 8 / 9 / 10 / 11 / 12%.,1.0
241,Janna,Eye of the Storm,Heal and shield power duration reduced to 4 seconds from 5.,1.0
242,Akshan,Heroic Swing,Bug Fix: Attack move on cursor now properly counts as a movement command for automatically using the second or third cast.,0.0
244,Janna,Stats,Base movement speed increased to 330 from 315.,1.0
245,Janna,Stats,Base attack damage increased to 52 from 46.,1.0
246,Janna,Stats,Attack damage growth increased to 3 from 1.5.,1.0
247,Janna,Stats,Attack speed growth increased to 3% from 2.95%.,1.0
248,Janna,Stats,Base attack range reduced to 500 from 550.,1.0
250,Janna,Tailwind,"While moving towards allied  champions, Janna gains 8% bonus movement speed.",1.0
251,Janna,Tailwind,Nearby allied champions moving towards her gain 8% bonus movement speed.,1.0
253,Janna,Tailwind,Janna gains 8% bonus movement speed and grants the same amount to nearby allied  champions moving towards her.,1.0
254,Janna,Tailwind,Janna's basic attacks  on-hit and  Zephyr deal bonus magic damage equal to 25 / 35% (based on level) of her bonus movement speed.,1.0
255,Janna,Howling Gale,Mana cost reduced to 60 / 70 / 80 / 90 / 100 from 60 / 80 / 100 / 120 / 140.,-1.0
256,Janna,Howling Gale,Minimum range increased to 1100 units from 1000.,1.0
257,Janna,Howling Gale,Maximum range increased to 1760 units from 1750.,1.0
258,Janna,Howling Gale,Travel time reduced to 1.25 seconds from 1.5.,-1.0
259,Janna,Zephyr,Cast range increased to 650 units from 550.,1.0
261,Janna,Zephyr,Slow duration increased to 3 seconds from 2.,1.0
262,Janna,Zephyr,Cooldown increased to 12 seconds at all ranks from 8 / 7.5 / 7 / 6.5 / 6.,-1.0
263,Janna,Zephyr,Base damage increased to 70 / 100 / 130 / 160 / 190 from 55 / 85 / 115 / 145 / 175.,1.0
264,Janna,Zephyr,Base bonus movement speed increased to 8 / 9 / 10 / 11 / 12% from 6 / 7 / 8 / 9 / 10%.,1.0
265,Janna,Eye of the Storm,Cooldown reduced to 15 / 13.5 / 12 / 10.5 / 9 seconds from 16 / 15 / 14 / 13 / 12.,-1.0
266,Janna,Eye of the Storm,Shield decay delay increased to 1.25 seconds from 0.75.,1.0
267,Janna,Eye of the Storm,Base shield reduced to 80 / 110 / 140 / 170 / 200 from 80 / 115 / 150 / 185 / 220.,1.0
268,Janna,Eye of the Storm,Shield AP ratio reduced to 65% AP from 70% AP.,1.0
269,Janna,Eye of the Storm,"Removed: Whenever Janna's abilities  slow or  knock up at least one enemy champion, Eye of the Storm's cooldown is no longer reduced by 20%. This could occur only once per cast.",-1.0
270,Janna,Eye of the Storm,"New Effect: Whenever Janna's abilities  slow or  knock up at least one enemy champion, gain 20% heal and shield power for 5 seconds.",1.0
271,Janna,Monsoon,Heal tick interval reduced to 0.25 seconds per tick from 0.5 seconds per tick.,1.0
272,Janna,Monsoon,Total healing unchanged.,1.0
273,Karthus,Death Defied,Bug Fix: Fixed a bug where towers would incorrectly target enemy champions who took damage from it.,0.0
274,Kog'Maw,Icathian Surprise,Bug Fix: Fixed a bug where towers would incorrectly target enemy champions who took damage from it.,0.0
275,Lulu,Whimsy,Cooldown increased to 17 / 16 / 15 / 14 / 13 seconds from 16 / 15 / 14 / 13 / 12.,-1.0
276,Nocturne,Stats,Health growth increased to 95 from 85.,1.0
277,Nocturne,Duskbringer,Bonus AD ratio increased to 85% bonus AD from 75%.,1.0
278,Qiyana,Stats,Base health regeneration reduced to 6 from 7.5.,1.0
279,Qiyana,Elemental Wrath,Grass trail duration reduced to 3 seconds from 3.5.,1.0
280,Rengar,Unseen Predator,Bug Fix: Leap basic attacks now correctly trigger  Navori Quickblades' Deft Strikes.,0.0
281,Rengar,Thrill of the Hunt,New Effect: Now gains  Unseen Predator while  camouflaged from all sources.,1.0
